#scientific name	type materials and coidentical strains	has individual sequences?	has complete genomes or assemblies?
Clostridium sartagoforme	ATCC 25778, DSM 1292, JCM 1413, NCIB 10668	yes	no
Clostridium saudiense	CSUR P697, DSM 27835, JCC	yes	yes
Clostridium scatologenes	ATCC 25775, CCUG 9283, DSM 757, JCM 1414, NCIB 8855, NCTC 12992	yes	yes
Clostridium schirmacherense	AP15, DSM 17394, JCM 13289	yes	no
Clostridium scindens	ATCC 35704, Bokkenheuser 19, DSM 5676	yes	yes
Clostridium senegalense	CSUR P152, DSM 25507, JC122	yes	yes
Clostridium septicum	ATCC 12464, BCRC 14552, CCM 5743, CCRC 14552, CCUG 4855, CIP 61.10, CN 3790, DSM 7534, JCM 8144, NCCB 47070, NCIMB 547, NCTC 547, NRRL B-3197	yes	no
Clostridium sphenoides	ATCC 19403, DSM 632, NCIB 10627, NCTC 507	yes	yes
Clostridium spiroforme	ATCC 29900, DSM 1552, NCTC 11211	yes	yes
Clostridium sporogenes	ATCC 3584, BCRC 11259, CCRC 11259, CCUG 15941, CIP 106155, DSM 795, IFO 13950, JCM 1416, LMG 8421, NCIB 10696, NCIMB 10696, NCTC 13020	yes	yes
Clostridium sporosphaeroides	ATCC 25781, DSM 1294, NCIB 10672	yes	yes
Clostridium stercorarium subsp. leptospartum	C-17-70, DSM 9219, IAM 13499	no	yes
Clostridium stercorarium subsp. stercorarium	DSM 8532, NCIB 11754	no	no
Clostridium stercorarium subsp. thermolacticum	DSM 2910, TX41	yes	yes
Clostridium straminisolvens	CSK1, DSM 16021, IAM 15070	yes	no
Clostridium subterminale	ATCC 25774, BCRC 14486, CCRC 14486, CCUG 21841, CDC KA152, DSM 6970, JCM 1417, NCIMB 10746, VPI 20231	yes	no
Clostridium sufflavum	CDT-1, DSM 19573, JCM 14807	yes	no
Clostridium sulfidigenes	ATCC BAA-1538, DSM 18982, SGB2	yes	no
Clostridium swellfunianum	CICC 10730, DSM 27788, JCM 19606, S11-3-10	yes	no
Clostridium symbiosum	ATCC 14940, DSM 934	yes	yes
Clostridium tagluense	A121, DSM 17763, VKM B-2369	yes	no
Clostridium tarantellae	ATCC 29255, DSM 3997, UM-87	yes	no
Clostridium tepidiprofundi	DSM 19306, SG 508, VKM B-2459	yes	yes
Clostridium tepidum	DSM 104389, IEH 97212, NRRL B-65463	yes	yes
Clostridium termitidis	CT1112, DSM 5398	yes	yes
Clostridium tertium	ATCC 145573, ATCC 14573, DSM 2485, IAM 14196, JCM 6289, NBRC 103192, NCIB 10697, NCIMB 10697	yes	no
Clostridium tetani	ATCC 19406, CCUG 4220, NCTC 279	yes	yes
Clostridium tetanomorphum	ATCC 49273, DSM 4474, NCTC 543, Robertson 259E	yes	no
Clostridium thermoalcaliphilum	DSM 7309, JW/YL23-2	yes	yes
Clostridium thermobutyricum	ATCC 49875, DSM 4928, JW171K	yes	yes
Clostridium thermocellum	ATCC 27405, DSM 1237, NCIB 10682	yes	yes
Clostridium thermopalmarium	ATCC 51427, BVP, DSM 5974	no	yes
Clostridium thermopapyrolyticum	UBA 305	no	no
Clostridium thermosuccinogenes	DSM 5807, IC	yes	yes
Clostridium thiosulfatireducens	CIP 106908, DSM 13105, Lup 21	yes	no
Clostridium tunisiense	CIP 107666, DSM 15206, E1	yes	no
Clostridium tyrobutyricum	ATCC 25755, CCUG 48315, CIP 105092, DSM 2637, JCM 11008, LMG 1285, NCIB 10635	yes	yes
Clostridium uliginosum	ATCC BAA-53, CK55, DSM 12992	yes	yes
Clostridium ultunense	BS, DSM 10521	yes	yes
Clostridium ventriculi	ATCC 19633, ATCC 29068, BCRC 15563, CCRC 15563, DSM 286, NCTC 12966	yes	no
Clostridium vincentii	DSM 10228, lac-1	no	yes
Clostridium viride	ATCC 43977, DSM 6836, T2-7	no	yes
Clostridium vulturis	JCM 17998, KCTC 15114, YMB-57	yes	no
Clostridium xylanolyticum	ATCC 49623, DSM 6555	yes	no
Cnuella takakiae	CGMCC 1.12492, DSM 26897, RG1-1	yes	yes
Cnuibacter physcomitrellae	CGMCC 1.15041, DSM 29843, XA	yes	yes
Cobetia amphilecti	CCUG 49560, KMM 1561, NRIC 0815	yes	no
Cobetia crustatorum	JCM 15644, JO1, KCTC 22486	yes	yes
Cobetia litoralis	CCUG 49563, KMM 3880, NRIC 0814	yes	no
Cobetia marina	219, 219 [[Halomonas halodurans]], ATCC 25374, ATCC 25374 [[Halomonas halodurans]], ATCC 29686, ATCC 29686 [[Halomonas halodurans]], CCUG 49558, CECT 4278, CIP 104765, DSM 4741, DSM 4741 [[Halomonas halodurans]], DSM 5160, DSM 5160 [[Halomonas halodurans]], IFO 15607 [[Halomonas halodurans]], LMG 2217, NBRC 102605, NBRC 15607 [[Halomonas halodurans]], NCIMB 1877	yes	no
Cobetia pacifica	CCUG 49562, KMM 3879, NRIC 0813	yes	no
Cocleimonas flava	DSM 24830, JCM 16494, KMM 3898, NRIC 0757	yes	no
Coenonia anatina	1502-91, CCUG 46148, CIP 106119, DSM 25327, LMG 14328, LMG 14382	yes	no
Coetzeea brasiliensis	Braz8, CIP 111088, LMG 29552	yes	no
Cohaesibacter gelatinilyticus	CL-GR15, DSM 18289, KCCM 42319	yes	yes
Cohaesibacter haloalkalitolerans	JC131, KCTC 32038, NBRC 109022	yes	no
Cohaesibacter marisflavi	CGMCC 1.9157, DQHS21, NCCB 100300	yes	yes
Cohnella algarum	JCM 32033, KACC 19279, Pch-40	yes	no
Cohnella arctica	CCTCC AB 2010228, M9-62, NRRL B-59459	yes	no
Cohnella boryungensis	BR-29, CCUG 59598, KCTC 13735	yes	no
Cohnella capsici	CGMCC 1.12046, JCM 19168, YN-59	yes	no
Cohnella cellulosilytica	FCN3-3, KCTC 13645, PCU 323, TISTR 1996	yes	no
Cohnella collisoli	CECT 8805, KCTC 33634, NKM-5	yes	no
Cohnella damuensis	13-25, CCTCC AB 208103, KCTC 13422	yes	no
Cohnella ferri	HIO-4, JCM 16139, MTCC 8365	yes	no
Cohnella fontinalis	DSM 21753, NBRC 104957, YT-1101	yes	no
Cohnella formosensis	BCRC 80428, CC-Alfalfa-35, JCM 18405	yes	no
Cohnella ginsengisoli	DSM 18997, GR21-5, KACC 11771	yes	no
Cohnella hongkongensis	CCUG 49571, CIP 107898, DSM 17642, HKU3	yes	no
Cohnella laeviribosi	CCUG 52217, DSM 21336, KCCM 10653, KCCM 10653P, KCTC 3987, RI-39	yes	yes
Cohnella lubricantis	CCM 8707, KSS-154-50, LMG 29763	no	no
Cohnella luojiensis	CCTCC AB 208254, HY-22R, NRRL B-59213	yes	no
Cohnella lupini	CECT 8236, LMG 27416, RLAHU4B	yes	no
Cohnella nanjingensis	CCTCC AB 2014067, D45, DSM 28246	yes	no
Cohnella panacarvi	DSM 18696, Gsoil 349, KCTC 13060	yes	yes
Cohnella phaseoli	DSM 19269, GSPC1, LMG 24086	yes	no
Cohnella plantaginis	CGMCC 1.12047, DSM 25424, YN-83	yes	no
Cohnella rhizosphaerae	CIP 110695, CSE-5610, LMG 28080	yes	no
Cohnella saccharovorans	CJ22, JCM 19227, KACC 17501	yes	no
Cohnella soli	KACC 13346, NBRC 106486, YM2-7	yes	no
Cohnella suwonensis	KACC 13347, NBRC 106485, WD2-19	yes	no
Cohnella terrae	KCTC 22295, MX21-2, PCU 310, TISTR 1892	yes	no
Cohnella thailandensis	KCTC 22296, PCU 306, S1-3, TISTR 1890	yes	no
Cohnella thermotolerans	CCUG 47242, CIP 108492, DSM 17683	yes	yes
Cohnella xylanilytica	KCTC 22294, MX15-2, PCU 309, TISTR 1891	yes	no
Cohnella yongneupensis	5YN10-14, DSM 18998, KACC 11768	yes	no
Coleofasciculus chthonoplastes	SAG 2209	yes	no
Colibacter massiliensis	CSUR P2911, DSM 103304, Marseille-P2911	yes	yes
Colidextribacter massiliensis	CSUR P3083, Marseille-P3083	yes	no
Collimonas arenae	CCUG 54727, LMG 23964, NCCB 100031, Ter10	yes	yes
Collimonas fungivorans	CCUG 48868, LMG 21973, NCCB 100033, Ter6	yes	yes
Collimonas pratensis	CCUG 54728, LMG 23965, Ter91	yes	yes
Collinsella aerofaciens	ATCC 25986, CCUG 28087, DSM 3979, JCM 10188, NCTC 11838, VPI 1003	yes	yes
Collinsella bouchesdurhonensis	CSUR P3296, Marseille-P3296	yes	yes
Collinsella ihuae	CSUR P2019, GD8	yes	yes
Collinsella intestinalis	CCUG 45296, CIP 106914, DSM 13280, JCM 10643, RCA56-68	yes	yes
Collinsella massiliensis	CSUR P902, DSM 26110, GD3	yes	yes
Collinsella phocaeensis	CSUR P3245, Marseille-P3245	yes	yes
Collinsella stercoris	CCUG 45295, CIP 106913, DSM 13279, JCM 10641, RCA55-54	yes	yes
Collinsella tanakaei	DSM 22478, JCM 16071, YIT 12063	yes	yes
Collinsella vaginalis	CSUR P2666, Marseille-P2666	yes	yes
Colwellia aestuarii	DSM 17314, KCTC 12480, SMK-10	yes	yes
Colwellia agarivorans	KCTC 52273, MCCC 1H00143, QM50	yes	yes
Colwellia aquaemaris	CGMCC 1.12165, JCM 18479, S1	yes	no
Colwellia arctica	435, ATCC BAA-2609, CICC 10860	yes	no
Colwellia asteriadis	JCM 15608, KCCM 90077, KMD 002	yes	no
Colwellia beringensis	KCTC 52554, MCCC 1A11668, NB097-1	no	yes
Colwellia chukchiensis	BCw111, CGMCC 1.9127, DSM 22576, LMG 25329	yes	yes
Colwellia demingiae	ACAM 459, CIP 105823	yes	no
Colwellia echini	A3, LMG 30125, NCIMB 15095	yes	yes
Colwellia hadaliensis	BNL-1	no	no
Colwellia hornerae	ACAM 607, CIP 105821, IC035	yes	no
Colwellia marinimaniae	ATCC TSD-5, JCM 30270, MTCD1	yes	yes
Colwellia maris	ABE-1, CIP 106458, JCM 10085	yes	no
Colwellia meonggei	CECT 8302, KCTC 32380, MA1-3	yes	no
Colwellia mytili	KCTC 52417, NBRC 112381, RA2-7	yes	yes
Colwellia piezophila	ATCC BAA-637, JCM 11831, Y223G	yes	yes
Colwellia polaris	537, CGMCC 1.6132, JCM 13952, MCCC 1C00015	yes	yes
Colwellia psychrerythraea	ATCC 27364, DSM 8813	yes	no
Colwellia psychrotropica	ACAM 179	yes	no
Colwellia rossensis	ACAM 608, S51-W(gv)1	yes	no
Colwellia sediminilitoris	KCTC 52213, NBRC 111994, YSM-23	yes	yes
Comamonas aquatica	ATCC 11330, CCUG 15845, CCUG 17395, DSM 9155, LMG 2370, NBRC 14918	yes	yes
Comamonas aquatilis	CCM 8815, CIP 111491, SB30-Chr27-3	yes	no
Comamonas badia	12, DSM 17552, IAM 14839, JCM 21345, KCTC 12244	yes	yes
Comamonas composti	BCRC 17659, DSM 21721, LMG 24008, YY287	yes	yes
Comamonas denitrificans	123, ATCC 700936, CCUG 44425	yes	no
Comamonas granuli	KCTC 12199, Ko03, NBRC 101663	yes	yes
Comamonas guangdongensis	CCTCC AB 2011133, CY01, KACC 16241	yes	no
Comamonas humi	DSM 28451, GAU11, JCM 19903	yes	no
Comamonas jiangduensis	CCTCC AB 2012033, KACC 16697, YW1	yes	no
Comamonas kerstersii	AF61, CCUG 15333, DSM 16026, LMG 3475	yes	no
Comamonas koreensis	CIP 108012, IMSNU 11158, KCTC 12005, YH-12, YH12	yes	no
Comamonas nitrativorans	23310, CCT 7062, CCUG 45781, CIP 107121, DSM 13191, NCCB 100007	yes	no
Comamonas odontotermitis	BCRC 17576, Dant 3-8, LMG 23579	yes	no
Comamonas phosphati	CGMCC 1.12294, DSM 26017, WYH 22-41	yes	no
Comamonas piscis	CN1, JCM 30718, KACC 18403	yes	no
Comamonas sediminis	JCM 31169, KEMB 563-466, S3	yes	no
Comamonas serinivorans	DSM 26136, JCM 18194, SP-35	yes	yes
Comamonas terrae	A3-3, KCTC 22606, NBRC 106524, PCU 324, TISTR 1906	yes	yes
Comamonas terrigena	ATCC 8461, CCUG 15327, CCUG 2185, CIP 63.44, DSM 7099, Hugh 247, IFO 12685, IFO 13299, IMET 10768, JCM 6230, LMG 1253, LMG 5929, NBRC 12685, NBRC 13299, NCCB 89134, NCIB 8193, NCIMB 8193, NCTC 1937, NRRL B-1055, NRRL B-781, Veron 31, Vron 31	yes	yes
Comamonas testosteroni	ATCC 11996, CCUG 1426, CFBP 2436, CIP 59.24, DSM 50244, HAMBI 403, IAM 12419, ICPB 2741-78, IFO 14951, JCM 5832, JCM 6221, KS 0043, KS0043, LMG 1786, LMG 1800, NBRC 14951, NCAIM B.01655, NCCB 86053, NCIB 8955, NCIMB 8955, NCTC 10698, NRRL B-2611, VKM B-1241	yes	yes
Comamonas thiooxydans	DSM 17888, JCM 14801, S23	yes	yes
Comamonas zonglianii	BF-3, CCTCC AB 209170, DSM 22523	yes	no
Commensalibacter intestini	A911, JCM 15511, KCTC 22117	yes	yes
Compostibacillus humi	CGMCC 1.12360, DX-3, KCTC 33104	yes	no
Compostibacter hankyongensis	BS27, JCM 17664, KACC 18745	yes	no
Compostimonas suwonensis	KACC 13354, NBRC 106304, SMC46	yes	no
Conchiformibius kuhniae	ATCC 29437, DSM 17694, IAM 15037, JCM 21500, NBRC 102458	yes	yes
Conchiformibius steedae	ATCC 27409, DSM 2580, IAM 14972, JCM 21443, NBRC 102457	yes	yes
Conexibacter arvalis	DSM 23288, KV-962, NBRC 106558	yes	no
Conexibacter stalactiti	DSM 103719, KCTC 39840, YC2-25	yes	no
Conexibacter woesei	DSM 14684, ID131577, JCM 11494, NBRC 100937	no	yes
Confluentibacter citreus	KCTC 52638, MCCC 1H00183, XJNY	no	yes
Confluentibacter lentus	HJM-3, KCTC 42777, NBRC 111588	yes	yes
Confluentimicrobium lipolyticum	CECT 8621, KCTC 42136, SSK1-4	yes	yes
Confluentimicrobium naphthalenivorans	JCM 30828, KCTC 18418, NS6	yes	no
Congobacterium massiliense	CSUR P3295, Marseille-P3295	yes	no
Congregibacter litoralis	DSM 17192, KT71, NBRC 104960	no	yes
Conservatibacter flavescens	7.4, CCUG 24852, DSM 105479, HIM 794-7	yes	yes
Consotaella salsifontis	CMPUJ U369, KCTC 22549, USBA 369	yes	no
Constrictibacter antarcticus	262-8, ATCC BAA-1906, JCM 16422	yes	no
Convivina intestini	DSM 28795, LMG 28291, R-53105	no	no
Conyzicola lurida	HWE2-01, JCM 19257, KCTC 29231	yes	no
Conyzicola nivalis	CGMCC 1.12813, JCM 30076, ZD5-4	yes	no
Coprobacillus cateniformis	CIP 106690, JCM 10604, RCA1-24	yes	yes
Coprobacter fastidiosus	DSM 26242, NSB1, VKM B-2743	yes	yes
Coprobacter secundus	177, DSM 28864, VKM B-2857	yes	yes
Coprococcus catus	ATCC 27761, VPI C6-61	yes	no
Coprococcus comes	ATCC 27758, VPI C1-38	yes	yes
Coprococcus eutactus	ATCC 27759	yes	yes
Coprothermobacter platensis	3R, DSM 11748	yes	yes
Coprothermobacter proteolyticus	ATCC 35245, BT, DSM 5265	yes	yes
Coraliomargarita akajimensis	04OKA010-24, DSM 45221, IAM 15411, JCM 23193, KCTC 12865, MBIC 06463, MBIC06463, NBRC 103620	yes	yes
Corallibacter vietnamensis	JCM 17525, KCTC 23026, KMM 6217	yes	no
Corallincola platygyrae	CGMCC 1.10992, JCM 18796, JLT2006	yes	no
Corallococcus coralloides	ATCC 25202, DSM 2259, M2	yes	yes
Corallococcus exiguus	CIP 109129, Cc e167, DSM 14696, JCM 12620	yes	no
Corallococcus macrosporus	CIP 109128, Cc m8, DSM 14697, Windsor M271 [[Myxococcus macrosporus]]	yes	yes
Corallomonas stylophorae	BCRC 80176, KTSW-6, LMG 25553	yes	no
Coriobacterium glomerans	ATCC 49209, DSM 20642, JCM 10262, PW2	yes	yes
Corticibacter populi	17B10-2-12, CFCC 12099, KCTC 42091	yes	no
Corticibacterium populi	16B10-2-7, CFCC 12884, KCTC 42249	yes	no
Corticicoccus populi	26D10-3-4, CFCC 12725, KCTC 33575	yes	no
Corynebacterium accolens	ATCC 49725, CCUG 28779, CIP 104783, CNCTC Th 1/57, CNCTC Th1/57, DSM 44278, JCM 8331	yes	yes
Corynebacterium afermentans	ATCC 51403, CCUG 32103, CIP 103499, DSM 44280, JCM 10390, LCDC 88199	yes	yes
Corynebacterium afermentans subsp. afermentans	CCUG 32103, CIP 103499, DSM 44280, LCDC 88199	no	no
Corynebacterium afermentans subsp. lipophilum	ATCC 51404, CCUG 32105, CIP 103500, DSM 44282, JCM 10391, T18502	yes	no
Corynebacterium ammoniagenes	ATCC 6871, CCUG 38796, CIP 101283, DSM 20306, IFO 12612, IMET 11243, JCM 1305, NBRC 12612, NCCB 60030, NCIB 8143, NCIMB 8143, NCTC 2398, VKM B-672	yes	yes
Corynebacterium amycolatum	ATCC 49368, CCUG 35685, CIP 103452, DSM 6922, IFO 15207, JCM 7447, NBRC 15207, NCFB 2768, NCIMB 13130, S 160, S160	yes	no
Corynebacterium appendicis	CCUG 48298, CIP 107643, DSM 44531, IMMIB R-3491, JCM 11765, NRRL B-14151, NRRL B-24151	yes	yes
Corynebacterium aquatimens	CCUG 61574, DSM 45632, IMMIB L-2475	yes	no
Corynebacterium aquilae	CCUG 46511, CECT 5993, DSM 44791, JCM 12268, S-613	yes	yes
Corynebacterium argentoratense	ATCC 51927, CCUG 34893, CIP 104296, DSM 44202, IBS B10697, JCM 10392	yes	yes
Corynebacterium atrinae	JCM 19266, KACC 17525, PSPT56	yes	no
Corynebacterium atypicum	CCUG 45804, CIP 107431, DSM 44849, JCM 12368, R2070	yes	yes
Corynebacterium aurimucosum	ATCC 700975 [[Corynebacterium nigricans]], CCUG 47449, CCUG 48176 [[Corynebacterium nigricans]], CIP 107346 [[Corynebacterium nigricans]], CN-1 [[Corynebacterium nigricans]], DSM 44532, IMMIB D-1488, JCM 11766, NRRL B-24143	yes	yes
Corynebacterium auris	ATCC 51966, CCUG 33426, CIP 104632, DMMZ 328, DSM 44122, JCM 11946, LMG 19072	yes	no
Corynebacterium auriscanis	CCUG 39938, CIP 106629, DSM 44609, JCM 12369, M598/96/1	yes	yes
Corynebacterium beticola	NCPPB 2256	no	no
Corynebacterium bouchesdurhonense	CSUR P2067, SN14	yes	yes
Corynebacterium bovis	ATCC 7715, CCUG 2705, CIP 54.80, DSM 20582, IMET 10632, JCM 11947, NCTC 3224	yes	yes
Corynebacterium callunae	ATCC 15991, CCUG 28793, CIP 104277, DSM 20147, HAMBI 2053, IFO 15359, IMET 11079, JCM 9489, NBRC 15359, NCIB 10338, NCIMB 10338, NRRL B-2244	yes	yes
Corynebacterium camporealensis	ATCC BAA-77, CCUG 39412, CECT 4897, CIP 105508, CRS-51, DSM 44610, JCM 11664	yes	yes
Corynebacterium canis	1170, CCUG 58627, DSM 45402	yes	no
Corynebacterium capitovis	CCUG 39779, CIP 106739, DSM 44611, JCM 12101, S108/98/2	yes	yes
Corynebacterium casei	CIP 107182, DPC 5298, DSM 44701, JCM 12072, LMG S-19264, NCIMB 30130	yes	yes
Corynebacterium caspium	CCUG 44566, CIP 107965, DSM 44850, JCM 13387, M/106/00/5	yes	yes
Corynebacterium ciconiae	BS13, CCUG 47525, CECT 5779, DSM 44920, JCM 13388	yes	yes
Corynebacterium confusum	CCUG 38267, CIP 105403, DMMZ 2439, DSM 44384, JCM 12102	yes	no
Corynebacterium coyleae	ATCC 700219, CCUG 35014, CCUG 38194, CIP 104919, DMMZ 214, DSM 44184, JCM 10381	yes	yes
Corynebacterium crudilactis	CCUG 69192, DSM 100882, JZ16, LMG 29813	yes	yes
Corynebacterium cystitidis	ATCC 29593, CCUG 28794, CIP 103424, DSM 20524, IFO 15284, JCM 3715, NBRC 15284, NCTC 11863	yes	yes
Corynebacterium deserti	CCTCC AB 2010341, GIMN1.010, NRRL B-59552	yes	yes
Corynebacterium diphtheriae	ATCC 27010, CIP 100721, DSM 44123, NCTC 11397	yes	yes
Corynebacterium doosanense	CAU 212, CCUG 57284, DSM 45436, JCM 17317, KCTC 19568	yes	yes
Corynebacterium durum	CCUG 37331, CIP 105490, DSM 44351, IBS G1503, IBS G15036, JCM 11948	yes	no
Corynebacterium efficiens	AJ 12310, CCUG 47130, CCUG 48037, DSM 44549, JCM 11189, NBRC 100395, YS-314	yes	yes
Corynebacterium epidermidicanis	410, CCUG 60915, DSM 45586, LMG 26322	yes	yes
Corynebacterium faecale	CCTCC AB 2013226, DSM 45971, YIM 101505	yes	no
Corynebacterium falsenii	CCUG 33651, CIP 105466, DSM 44353, JCM 11949, Y13024	yes	yes
Corynebacterium felinum	CCUG 39943, CIP 106740, DSM 44508, JCM 12103, M714/95/5	yes	no
Corynebacterium flavescens	8, ATCC 10340, CCUG 28791, CIP 69.5, DSM 20296, IFO 14136, IMET 11080, JCM 1317, LMG 4046, NBRC 14136, NCCB 42012, NCDO 1320, NCFB 1320, NCIB 8707, NCIMB 8707, VKM Ac-1956	yes	yes
Corynebacterium fournierii	CSUR P2948, DSM 103271, Marseille-P2948	yes	yes
Corynebacterium frankenforstense	CCUG 63371, DSM 45800, ST18	yes	yes
Corynebacterium freiburgense	1045, CCUG 56874, DSM 45254	yes	yes
Corynebacterium freneyi	CCUG 45704, CIP 106767, DSM 44506, ISPB 6695110, JCM 12104	yes	no
Corynebacterium glaucum	DSM 44530, IMMIB R-5091, JCM 12208, NRRL B-24142	no	no
Corynebacterium glucuronolyticum	6, ATCC 51860, CCUG 35055, CIP 104297 [[Corynebacterium seminale]], CIP 104577, DMMZ 838, DSM 44120, DSM 44288 [[Corynebacterium seminale]], IBS B12915 [[Corynebacterium seminale]], JCM 11612, LMG 19047	yes	yes
Corynebacterium glutamicum	ATCC 13032, ATCC 14020 [[Brevibacterium divaricatum]], ATCC 14020 [[Corynebacterium lilium]], ATCC 15990 [[Brevibacterium divaricatum]], ATCC 15990 [[Corynebacterium lilium]], CCUG 27702, CIP 82.8, DSM 20137 [[Brevibacterium divaricatum]], DSM 20137 [[Corynebacterium lilium]], DSM 20297 [[Brevibacterium divaricatum]], DSM 20297 [[Corynebacterium lilium]], DSM 20300, HAMBI 2052, IFO 12168, IMET 10482, IMET 11073 [[Brevibacterium divaricatum]], IMET 11073 [[Corynebacterium lilium]], IMET 11081 [[Brevibacterium divaricatum]], IMET 11081 [[Corynebacterium lilium]], JCM 1318, LMG 3730, NBRC 12168, NCIB 10025, NCIB 10337 [[Brevibacterium divaricatum]], NCIB 10337 [[Corynebacterium lilium]], NCIB 9379 [[Brevibacterium divaricatum]], NCIB 9379 [[Corynebacterium lilium]], NRRL B-2243 [[Brevibacterium divaricatum]], NRRL B-2243 [[Corynebacterium lilium]], NRRL B-2784	yes	yes
Corynebacterium glyciniphilum	AJ 3170, ATCC 21341, DSM 45795	yes	yes
Corynebacterium godavarianum	KCTC 39803, LMG 29598, MCC 3388, PRD07	yes	no
Corynebacterium gottingense	99221/2016, DSM 103494, JCM 31931	yes	no
Corynebacterium guangdongense	CCTCC AB 2015423, GDMCC 1.1022, KCTC 39608, S01	yes	no
Corynebacterium hadale	DSM 105365, MCCC 1K03347, NBT06-6	yes	yes
Corynebacterium halotolerans	CCTCC AA 001024, CCTCC AA001024, DSM 44683, JCM 12676, YIM 70093	yes	yes
Corynebacterium hansenii	C-138, CCUG 53252, CIP 108444, DSM 45109, JCM 15293	yes	no
Corynebacterium humireducens	CGMCC 2452, DSM 45392, MFC-5, NBRC 106098	yes	yes
Corynebacterium ihumii	DSM 45751, GD7	yes	yes
Corynebacterium ilicis	ICMP 2608, ICPB CI144, not ATCC 14264	yes	no
Corynebacterium imitans	ATCC 700354, CCUG 36877, CIP 105130, DSM 44264, IFO 16163, JCM 10386, NBRC 100416, NBRC 16163, NCTC 13015	yes	yes
Corynebacterium jeddahense	CSUR P778, DSM 45997, JCB	yes	yes
Corynebacterium jeikeium	ATCC 43734, CCUG 27192, CIP 103337, DSM 7171, JCM 9384, NCTC 11913	yes	yes
Corynebacterium kefirresidentii	SB	no	yes
Corynebacterium kroppenstedtii	CCUG 35717, CIP 105744, DSM 44385, JCM 11950	yes	yes
Corynebacterium kutscheri	ATCC 15677, CCUG 27535, CIP 103423, DSM 20755, IFO 15288, JCM 9385, NBRC 15288, NCTC 11138	yes	yes
Corynebacterium lactis	CCUG 63372, DSM 45799, RW2-5	yes	yes
Corynebacterium lipophiloflavum	ATCC 700352, CCUG 37336, CIP 105127, DMMZ 1944, DSM 44291, JCM 10383	yes	yes
Corynebacterium lowii	CCUG 65815, LMG 28276, NML 130206, R-50085, TKD4	yes	yes
Corynebacterium lubricantis	CCM 7546, CCUG 56567, DSM 45231, JCM 16607, KSS-3Se	yes	yes
Corynebacterium macginleyi	ATCC 51787, CCUG 32361, CIP 104099, DSM 44284, JCL-2, JCM 11684	yes	no
Corynebacterium marinum	CGMCC 1.6998, D7015, DSM 44953, JCM 17491, NRRL B-24779	yes	yes
Corynebacterium maris	Coryn-1, DSM 45190, JCM 17018, LMG 24561	yes	yes
Corynebacterium massiliense	5402485, CCUG 53857, CIP 109423, CSUR P19, DSM 45435	yes	yes
Corynebacterium mastitidis	CCUG 38654, CECT 4843, CIP 105509, DSM 44356, IFO 16160, JCM 12269, LMG 19040, NBRC 16160, S-8	yes	yes
Corynebacterium matruchotii	ATCC 14266, CCUG 27545, CCUG 46620, CIP 81.82, DSM 20635, IFO 15360, IMET 11403, JCM 9386, NBRC 15360, NCTC 10254	yes	yes
Corynebacterium minutissimum	ATCC 23348, CCUG 541, CIP 100652, DSM 20651, IFO 15361, IMET 11144, JCM 9387, NBRC 15361, NCTC 10288	yes	yes
Corynebacterium mucifaciens	ATCC 700355, CCUG 36878, CIP 105129, DMMZ 2278, DSM 44265, JCM 10384	yes	no
Corynebacterium mustelae	3105, CCUG 57279, DSM 45274, JCM 17318	yes	yes
Corynebacterium mycetoides	ATCC 43995, CCUG 27538, CIP 55.51, DSM 20632, IFO 15289, JCM 9388, NBRC 15289, NCTC 9864	yes	yes
Corynebacterium nasicanis	2673/12, CCUG 65455, LMG 28166	yes	no
Corynebacterium nuruki	JCM 17162, KACC 15032, S6-4	yes	yes
Corynebacterium oculi	CCUG 65816, LMG 28277, NML 130210, R-50187, TVRM83/2006F4/44	yes	yes
Corynebacterium pelargi	136/3, CCM 8517, CIP 110778, LMG 28174	yes	no
Corynebacterium phocae	CCUG 38205, CIP 105741, DSM 44612, JCM 12105, M408/89/1	yes	yes
Corynebacterium phoceense	CSUR P1905, DSM 100570, MC1	yes	yes
Corynebacterium pilbarense	CCUG 57942, DSM 45350, IMMIB WACC 658, JCM 17319	yes	no
Corynebacterium pilosum	ATCC 29592, CCUG 27193, CIP 103422, DSM 20521, IFO 15285, IMET 11382, JCM 3714, NBRC 15285, NCTC 11862	yes	yes
Corynebacterium pollutisoli	DSM 100104, KCTC 39687, MCC 2722, VDS11	yes	no
Corynebacterium propinquum	ATCC 51488, B 77159, CCUG 33048, CIP 103792, DSM 44285, JCM 12106	yes	yes
Corynebacterium provencense	CSUR P2161, SN15	yes	yes
Corynebacterium pseudodiphtheriticum	ATCC 10700, CCUG 27539, CIP 103420, DSM 44287, IFO 15362, JCM 11665, NBRC 15362, NCTC 11136	yes	yes
Corynebacterium pseudotuberculosis	ATCC 19410, CCUG 2806, CIP 102968, DSM 20689, IFO 15363, JCM 9389, NBRC 15363, NCTC 3450	yes	yes
Corynebacterium pyruviciproducens	06-1773O, ATCC BAA-1742, CCUG 57046, DSM 45585, JCM 17320, WAL 19168	yes	yes
Corynebacterium renale	ATCC 19412, CCUG 27542, CIP 103421, DSM 20688, HAMBI 2321, IFO 15290, IMET 11147, JCM 9391, NBRC 15290, NCTC 7448	yes	yes
Corynebacterium resistens	CCUG 50093, DSM 45100, GTC 2026, JCM 12819, SICGH 158	yes	yes
